,MYC/8q (Amp),MDM4/1q (Amp),TP53 (M),TP53/17p (Del),GNAS/20q (Amp),CCND1/11q (Amp),PLCG2/16q (Del),RB1/13q (Del),RAC2/22q (Del),PIK3CA (M),ERBB2/17q (Amp),GATA3 (M)
MYC/8q (Amp),1.21,0.0,1.34,-0.01,0.0,0.15,-0.0,-0.01,-0.0,-0.01,0.0,0.0
MDM4/1q (Amp),-0.0,1.45,-0.0,-0.17,0.0,0.0,0.0,-0.06,0.0,0.08,-0.01,-0.0
TP53 (M),0.0,-0.0,0.7,0.26,0.0,-0.0,-0.0,0.45,-0.14,0.0,0.31,-0.55
TP53/17p (Del),-0.0,-0.0,-0.0,0.91,-0.01,-0.0,0.0,0.0,0.85,0.0,0.08,0.0
GNAS/20q (Amp),0.57,0.16,0.4,-0.38,0.77,0.12,-0.17,0.0,-0.0,0.0,0.0,0.0
CCND1/11q (Amp),0.0,0.0,-0.0,-0.0,0.0,0.93,-0.0,-0.0,-0.0,-0.0,-0.11,0.0
PLCG2/16q (Del),-0.0,0.18,-0.0,0.52,-0.21,-0.0,0.35,0.38,0.0,0.81,-0.0,-0.0
RB1/13q (Del),-0.0,-0.25,0.0,1.19,-0.0,-0.0,0.0,0.42,0.0,-0.0,0.0,-0.0
RAC2/22q (Del),-0.01,0.0,-0.21,0.0,-0.02,0.0,1.17,0.0,0.24,-0.0,-0.03,0.01
PIK3CA (M),-0.62,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.71,-0.25,-0.01
ERBB2/17q (Amp),0.0,-0.01,0.0,0.0,0.0,-0.06,-0.0,0.0,-0.0,-0.23,0.51,0.0
GATA3 (M),0.0,-0.0,-0.09,0.0,0.0,0.0,-0.0,-0.0,0.12,-0.0,0.0,-0.34
Observation,0.27,0.3,1.84,0.0,-0.0,0.27,0.85,0.0,0.65,0.56,0.0,0.92
